53Date,Amount,Category,Description
2024-10-01,1200,Rent,October rent
2024-10-05,300,Groceries,Bought vegetables and fruits
2024-10-07,150,Transport,Bus fare
2024-10-10,500,Entertainment,Movie ticket
2024-10-15,250,Groceries,Snacks and dairy
2024-10-17,100,Transport,Cab fare
2024-10-18,800,Dining,Dinner at restaurant
2024-10-18,500,Groceries,Bought vegetables
2024-10-18,2000,Rent,Paid October rent
2024-10-18,500,Groceries,Bought vegetables
2024-10-18,2000,Rent,Paid October rent
2024-10-18,500,Groceries,Bought vegetables
2024-10-18,2000,Rent,Paid October rent
2024-10-18,500,Groceries,Bought vegetables
2024-10-18,2000,Rent,Paid October rent
2024-10-18,500,Groceries,Bought vegetables
2024-10-18,2000,Rent,Paid October rent
2002-12-22,2200,rent
